
----------- Ïðîòîêîë ------------ Äàòà: 15.12.2025 18:35:26 ------------ 


----- Ïàðàìåòðû --------
-in: in.txt
-out: out.asm
-log: in.txt.log
---- Èñõîäíûå äàííûå ------
Êîëè÷åñòâî ñèìâîëîâ: 2837
Ïðîèãíîðèðîâàíî:   0
Êîëè÷åñòâî ñòðîê: 121

------------------------------ ×ËÅÍÛ ÎÒÐßÄÀ, ÇÀÌÅ×ÅÍÍÎÃÎ ÐÀÇÂÅÄ×ÈÊÀÌÈ  ------------------------

| ¹ | ÇÀÌÅ×ÅÍÍÛÉ | ÌÅÑÒÎ | ÏÎÇÈÖÈß Â ÒÒ|
51  :K->^;               ^;e;]tfi(ti,ti)[nti;i=(i*     Ke;]S$              
52  : SAVESTATE:          11
52  :                    ^;e;]tfi(ti,ti)[nti;i=(i*     ^;e;]S$             
53  :                    ;e;]tfi(ti,ti)[nti;i=(i*i     ;e;]S$              
54  :                    e;]tfi(ti,ti)[nti;i=(i*i)     e;]S$               
55  :                    ;]tfi(ti,ti)[nti;i=(i*i)/     ;]S$                
56  :                    ]tfi(ti,ti)[nti;i=(i*i)/l     ]S$                 
57  :                    tfi(ti,ti)[nti;i=(i*i)/l;     S$                  
58  :S->tfiPTS           tfi(ti,ti)[nti;i=(i*i)/l;     S$                  
59  : SAVESTATE:          12
59  :                    tfi(ti,ti)[nti;i=(i*i)/l;     tfiPTS$             
60  :                    fi(ti,ti)[nti;i=(i*i)/l;e     fiPTS$              
61  :                    i(ti,ti)[nti;i=(i*i)/l;ei     iPTS$               
62  :                    (ti,ti)[nti;i=(i*i)/l;ei;     PTS$                
63  :P->(E)              (ti,ti)[nti;i=(i*i)/l;ei;     PTS$                
64  : SAVESTATE:          13
64  :                    (ti,ti)[nti;i=(i*i)/l;ei;     (E)TS$              
65  :                    ti,ti)[nti;i=(i*i)/l;ei;]     E)TS$               
66  :E->ti,E             ti,ti)[nti;i=(i*i)/l;ei;]     E)TS$               
67  : SAVESTATE:          14
67  :                    ti,ti)[nti;i=(i*i)/l;ei;]     ti,E)TS$            
68  :                    i,ti)[nti;i=(i*i)/l;ei;]m     i,E)TS$             
69  :                    ,ti)[nti;i=(i*i)/l;ei;]m[     ,E)TS$              
70  :                    ti)[nti;i=(i*i)/l;ei;]m[i     E)TS$               
71  :E->ti,E             ti)[nti;i=(i*i)/l;ei;]m[i     E)TS$               
72  : SAVESTATE:          15
72  :                    ti)[nti;i=(i*i)/l;ei;]m[i     ti,E)TS$            
73  :                    i)[nti;i=(i*i)/l;ei;]m[i(     i,E)TS$             
74  :                    )[nti;i=(i*i)/l;ei;]m[i(l     ,E)TS$              
75  : TS_NOK/NS_NORULECHÀIN
75  : RESSTATE            
75  :                    ti)[nti;i=(i*i)/l;ei;]m[i     E)TS$               
76  :E->ti               ti)[nti;i=(i*i)/l;ei;]m[i     E)TS$               
77  : SAVESTATE:          15
77  :                    ti)[nti;i=(i*i)/l;ei;]m[i     ti)TS$              
78  :                    i)[nti;i=(i*i)/l;ei;]m[i(     i)TS$               
79  :                    )[nti;i=(i*i)/l;ei;]m[i(l     )TS$                
80  :                    [nti;i=(i*i)/l;ei;]m[i(l)     TS$                 
81  :T->[eV;]            [nti;i=(i*i)/l;ei;]m[i(l)     TS$                 
