
----------- Ïðîòîêîë ------------ Äàòà: 15.12.2025 16:58:13 ------------ 


----- Ïàðàìåòðû --------
-in: in.txt
-out: in.txt.out
-log: in.txt.log
---- Èñõîäíûå äàííûå ------
Êîëè÷åñòâî ñèìâîëîâ: 1845
Ïðîèãíîðèðîâàíî:   0
Êîëè÷åñòâî ñòðîê:  94

------------------------------ ÒÀÁËÈÖÀ ËÅÊÑÅÌ  ------------------------

|  N | ËÅÊÑÅÌÀ | ÑÒÐÎÊÀ | ÈÍÄÅÊÑ Â ÒÈ |
402 :                    ;eti=l;eti=l;eti;eti=l;et     M;}$                
403 : TNS_NORULECHAIN/NS_NORULE
403 : RESSTATE            
403 :                    l;eti=l;eti=l;eti;eti=l;e     E;}$                
404 : TNS_NORULECHAIN/NS_NORULE
404 : RESSTATE            
404 :                    eti=l;eti=l;eti=l;eti;eti     N}$                 
405 :N->eti=E;N          eti=l;eti=l;eti=l;eti;eti     N}$                 
406 : SAVESTATE:          42
406 :                    eti=l;eti=l;eti=l;eti;eti     eti=E;N}$           
407 :                    ti=l;eti=l;eti=l;eti;eti=     ti=E;N}$            
408 :                    i=l;eti=l;eti=l;eti;eti=l     i=E;N}$             
409 :                    =l;eti=l;eti=l;eti;eti=l;     =E;N}$              
410 :                    l;eti=l;eti=l;eti;eti=l;e     E;N}$               
411 :E->l                l;eti=l;eti=l;eti;eti=l;e     E;N}$               
412 : SAVESTATE:          43
412 :                    l;eti=l;eti=l;eti;eti=l;e     l;N}$               
413 :                    ;eti=l;eti=l;eti;eti=l;et     ;N}$                
414 :                    eti=l;eti=l;eti;eti=l;eti     N}$                 
415 :N->eti;             eti=l;eti=l;eti;eti=l;eti     N}$                 
416 : SAVESTATE:          44
416 :                    eti=l;eti=l;eti;eti=l;eti     eti;}$              
417 :                    ti=l;eti=l;eti;eti=l;eti=     ti;}$               
418 :                    i=l;eti=l;eti;eti=l;eti=l     i;}$                
419 :                    =l;eti=l;eti;eti=l;eti=l;     ;}$                 
420 : TS_NOK/NS_NORULECHï¿½IN
420 : RESSTATE            
420 :                    eti=l;eti=l;eti;eti=l;eti     N}$                 
421 :N->eti;N            eti=l;eti=l;eti;eti=l;eti     N}$                 
422 : SAVESTATE:          44
422 :                    eti=l;eti=l;eti;eti=l;eti     eti;N}$             
423 :                    ti=l;eti=l;eti;eti=l;eti=     ti;N}$              
424 :                    i=l;eti=l;eti;eti=l;eti=l     i;N}$               
425 :                    =l;eti=l;eti;eti=l;eti=l;     ;N}$                
426 : TS_NOK/NS_NORULECHï¿½IN
426 : RESSTATE            
426 :                    eti=l;eti=l;eti;eti=l;eti     N}$                 
427 :N->eti=E;           eti=l;eti=l;eti;eti=l;eti     N}$                 
428 : SAVESTATE:          44
428 :                    eti=l;eti=l;eti;eti=l;eti     eti=E;}$            
429 :                    ti=l;eti=l;eti;eti=l;eti=     ti=E;}$             
430 :                    i=l;eti=l;eti;eti=l;eti=l     i=E;}$              
431 :                    =l;eti=l;eti;eti=l;eti=l;     =E;}$               
432 :                    l;eti=l;eti;eti=l;eti=l;e     E;}$                
433 :E->l                l;eti=l;eti;eti=l;eti=l;e     E;}$                
434 : SAVESTATE:          45
434 :                    l;eti=l;eti;eti=l;eti=l;e     l;}$                
435 :                    ;eti=l;eti;eti=l;eti=l;et     ;}$                 
436 :                    eti=l;eti;eti=l;eti=l;eti     }$                  
437 : TS_NOK/NS_NORULECHï¿½IN
437 : RESSTATE            
437 :                    l;eti=l;eti;eti=l;eti=l;e     E;}$                
438 :E->lM               l;eti=l;eti;eti=l;eti=l;e     E;}$                
439 : SAVESTATE:          45
439 :                    l;eti=l;eti;eti=l;eti=l;e     lM;}$               
440 :                    ;eti=l;eti;eti=l;eti=l;et     M;}$                
441 : TNS_NORULECHAIN/NS_NORULE
441 : RESSTATE            
441 :                    l;eti=l;eti;eti=l;eti=l;e     E;}$                
442 : TNS_NORULECHAIN/NS_NORULE
442 : RESSTATE            
442 :                    eti=l;eti=l;eti;eti=l;eti     N}$                 
443 :N->eti=E;N          eti=l;eti=l;eti;eti=l;eti     N}$                 
444 : SAVESTATE:          44
444 :                    eti=l;eti=l;eti;eti=l;eti     eti=E;N}$           
445 :                    ti=l;eti=l;eti;eti=l;eti=     ti=E;N}$            
446 :                    i=l;eti=l;eti;eti=l;eti=l     i=E;N}$             
447 :                    =l;eti=l;eti;eti=l;eti=l;     =E;N}$              
448 :                    l;eti=l;eti;eti=l;eti=l;e     E;N}$               
449 :E->l                l;eti=l;eti;eti=l;eti=l;e     E;N}$               
450 : SAVESTATE:          45
450 :                    l;eti=l;eti;eti=l;eti=l;e     l;N}$               
451 :                    ;eti=l;eti;eti=l;eti=l;et     ;N}$                
452 :                    eti=l;eti;eti=l;eti=l;eti     N}$                 
453 :N->eti;             eti=l;eti;eti=l;eti=l;eti     N}$                 
454 : SAVESTATE:          46
454 :                    eti=l;eti;eti=l;eti=l;eti     eti;}$              
455 :                    ti=l;eti;eti=l;eti=l;eti;     ti;}$               
456 :                    i=l;eti;eti=l;eti=l;eti;e     i;}$                
457 :                    =l;eti;eti=l;eti=l;eti;et     ;}$                 
458 : TS_NOK/NS_NORULECHï¿½IN
458 : RESSTATE            
458 :                    eti=l;eti;eti=l;eti=l;eti     N}$                 
459 :N->eti;N            eti=l;eti;eti=l;eti=l;eti     N}$                 
460 : SAVESTATE:          46
460 :                    eti=l;eti;eti=l;eti=l;eti     eti;N}$             
461 :                    ti=l;eti;eti=l;eti=l;eti;     ti;N}$              
462 :                    i=l;eti;eti=l;eti=l;eti;e     i;N}$               
463 :                    =l;eti;eti=l;eti=l;eti;et     ;N}$                
464 : TS_NOK/NS_NORULECHï¿½IN
464 : RESSTATE            
464 :                    eti=l;eti;eti=l;eti=l;eti     N}$                 
465 :N->eti=E;           eti=l;eti;eti=l;eti=l;eti     N}$                 
466 : SAVESTATE:          46
466 :                    eti=l;eti;eti=l;eti=l;eti     eti=E;}$            
467 :                    ti=l;eti;eti=l;eti=l;eti;     ti=E;}$             
468 :                    i=l;eti;eti=l;eti=l;eti;e     i=E;}$              
469 :                    =l;eti;eti=l;eti=l;eti;et     =E;}$               
470 :                    l;eti;eti=l;eti=l;eti;eti     E;}$                
471 :E->l                l;eti;eti=l;eti=l;eti;eti     E;}$                
472 : SAVESTATE:          47
472 :                    l;eti;eti=l;eti=l;eti;eti     l;}$                
473 :                    ;eti;eti=l;eti=l;eti;eti=     ;}$                 
474 :                    eti;eti=l;eti=l;eti;eti=l     }$                  
475 : TS_NOK/NS_NORULECHï¿½IN
475 : RESSTATE            
475 :                    l;eti;eti=l;eti=l;eti;eti     E;}$                
476 :E->lM               l;eti;eti=l;eti=l;eti;eti     E;}$                
477 : SAVESTATE:          47
477 :                    l;eti;eti=l;eti=l;eti;eti     lM;}$               
478 :                    ;eti;eti=l;eti=l;eti;eti=     M;}$                
479 : TNS_NORULECHAIN/NS_NORULE
479 : RESSTATE            
479 :                    l;eti;eti=l;eti=l;eti;eti     E;}$                
480 : TNS_NORULECHAIN/NS_NORULE
480 : RESSTATE            
480 :                    eti=l;eti;eti=l;eti=l;eti     N}$                 
481 :N->eti=E;N          eti=l;eti;eti=l;eti=l;eti     N}$                 
482 : SAVESTATE:          46
482 :                    eti=l;eti;eti=l;eti=l;eti     eti=E;N}$           
483 :                    ti=l;eti;eti=l;eti=l;eti;     ti=E;N}$            
484 :                    i=l;eti;eti=l;eti=l;eti;e     i=E;N}$             
485 :                    =l;eti;eti=l;eti=l;eti;et     =E;N}$              
486 :                    l;eti;eti=l;eti=l;eti;eti     E;N}$               
487 :E->l                l;eti;eti=l;eti=l;eti;eti     E;N}$               
488 : SAVESTATE:          47
488 :                    l;eti;eti=l;eti=l;eti;eti     l;N}$               
489 :                    ;eti;eti=l;eti=l;eti;eti=     ;N}$                
490 :                    eti;eti=l;eti=l;eti;eti=l     N}$                 
491 :N->eti;             eti;eti=l;eti=l;eti;eti=l     N}$                 
492 : SAVESTATE:          48
492 :                    eti;eti=l;eti=l;eti;eti=l     eti;}$              
493 :                    ti;eti=l;eti=l;eti;eti=l;     ti;}$               
494 :                    i;eti=l;eti=l;eti;eti=l;u     i;}$                
495 :                    ;eti=l;eti=l;eti;eti=l;ui     ;}$                 
496 :                    eti=l;eti=l;eti;eti=l;ui;     }$                  
497 : TS_NOK/NS_NORULECHï¿½IN
497 : RESSTATE            
497 :                    eti;eti=l;eti=l;eti;eti=l     N}$                 
498 :N->eti;N            eti;eti=l;eti=l;eti;eti=l     N}$                 
499 : SAVESTATE:          48
499 :                    eti;eti=l;eti=l;eti;eti=l     eti;N}$             
500 :                    ti;eti=l;eti=l;eti;eti=l;     ti;N}$              
501 :                    i;eti=l;eti=l;eti;eti=l;u     i;N}$               
502 :                    ;eti=l;eti=l;eti;eti=l;ui     ;N}$                
503 :                    eti=l;eti=l;eti;eti=l;ui;     N}$                 
504 :N->eti;             eti=l;eti=l;eti;eti=l;ui;     N}$                 
505 : SAVESTATE:          49
505 :                    eti=l;eti=l;eti;eti=l;ui;     eti;}$              
506 :                    ti=l;eti=l;eti;eti=l;ui;^     ti;}$               
507 :                    i=l;eti=l;eti;eti=l;ui;^;     i;}$                
508 :                    =l;eti=l;eti;eti=l;ui;^;e     ;}$                 
509 : TS_NOK/NS_NORULECHï¿½IN
509 : RESSTATE            
509 :                    eti=l;eti=l;eti;eti=l;ui;     N}$                 
510 :N->eti;N            eti=l;eti=l;eti;eti=l;ui;     N}$                 
511 : SAVESTATE:          49
511 :                    eti=l;eti=l;eti;eti=l;ui;     eti;N}$             
512 :                    ti=l;eti=l;eti;eti=l;ui;^     ti;N}$              
513 :                    i=l;eti=l;eti;eti=l;ui;^;     i;N}$               
514 :                    =l;eti=l;eti;eti=l;ui;^;e     ;N}$                
515 : TS_NOK/NS_NORULECHï¿½IN
515 : RESSTATE            
515 :                    eti=l;eti=l;eti;eti=l;ui;     N}$                 
516 :N->eti=E;           eti=l;eti=l;eti;eti=l;ui;     N}$                 
517 : SAVESTATE:          49
517 :                    eti=l;eti=l;eti;eti=l;ui;     eti=E;}$            
518 :                    ti=l;eti=l;eti;eti=l;ui;^     ti=E;}$             
519 :                    i=l;eti=l;eti;eti=l;ui;^;     i=E;}$              
520 :                    =l;eti=l;eti;eti=l;ui;^;e     =E;}$               
521 :                    l;eti=l;eti;eti=l;ui;^;et     E;}$                
522 :E->l                l;eti=l;eti;eti=l;ui;^;et     E;}$                
523 : SAVESTATE:          50
523 :                    l;eti=l;eti;eti=l;ui;^;et     l;}$                
524 :                    ;eti=l;eti;eti=l;ui;^;eti     ;}$                 
525 :                    eti=l;eti;eti=l;ui;^;eti=     }$                  
526 : TS_NOK/NS_NORULECHï¿½IN
526 : RESSTATE            
526 :                    l;eti=l;eti;eti=l;ui;^;et     E;}$                
527 :E->lM               l;eti=l;eti;eti=l;ui;^;et     E;}$                
528 : SAVESTATE:          50
528 :                    l;eti=l;eti;eti=l;ui;^;et     lM;}$               
529 :                    ;eti=l;eti;eti=l;ui;^;eti     M;}$                
530 : TNS_NORULECHAIN/NS_NORULE
530 : RESSTATE            
530 :                    l;eti=l;eti;eti=l;ui;^;et     E;}$                
531 : TNS_NORULECHAIN/NS_NORULE
531 : RESSTATE            
531 :                    eti=l;eti=l;eti;eti=l;ui;     N}$                 
532 :N->eti=E;N          eti=l;eti=l;eti;eti=l;ui;     N}$                 
533 : SAVESTATE:          49
533 :                    eti=l;eti=l;eti;eti=l;ui;     eti=E;N}$           
534 :                    ti=l;eti=l;eti;eti=l;ui;^     ti=E;N}$            
535 :                    i=l;eti=l;eti;eti=l;ui;^;     i=E;N}$             
536 :                    =l;eti=l;eti;eti=l;ui;^;e     =E;N}$              
537 :                    l;eti=l;eti;eti=l;ui;^;et     E;N}$               
538 :E->l                l;eti=l;eti;eti=l;ui;^;et     E;N}$               
539 : SAVESTATE:          50
539 :                    l;eti=l;eti;eti=l;ui;^;et     l;N}$               
540 :                    ;eti=l;eti;eti=l;ui;^;eti     ;N}$                
541 :                    eti=l;eti;eti=l;ui;^;eti=     N}$                 
542 :N->eti;             eti=l;eti;eti=l;ui;^;eti=     N}$                 
543 : SAVESTATE:          51
543 :                    eti=l;eti;eti=l;ui;^;eti=     eti;}$              
544 :                    ti=l;eti;eti=l;ui;^;eti=l     ti;}$               
545 :                    i=l;eti;eti=l;ui;^;eti=l;     i;}$                
546 :                    =l;eti;eti=l;ui;^;eti=l;i     ;}$                 
547 : TS_NOK/NS_NORULECHï¿½IN
547 : RESSTATE            
547 :                    eti=l;eti;eti=l;ui;^;eti=     N}$                 
548 :N->eti;N            eti=l;eti;eti=l;ui;^;eti=     N}$                 
549 : SAVESTATE:          51
549 :                    eti=l;eti;eti=l;ui;^;eti=     eti;N}$             
550 :                    ti=l;eti;eti=l;ui;^;eti=l     ti;N}$              
551 :                    i=l;eti;eti=l;ui;^;eti=l;     i;N}$               
552 :                    =l;eti;eti=l;ui;^;eti=l;i     ;N}$                
553 : TS_NOK/NS_NORULECHï¿½IN
553 : RESSTATE            
553 :                    eti=l;eti;eti=l;ui;^;eti=     N}$                 
554 :N->eti=E;           eti=l;eti;eti=l;ui;^;eti=     N}$                 
555 : SAVESTATE:          51
555 :                    eti=l;eti;eti=l;ui;^;eti=     eti=E;}$            
556 :                    ti=l;eti;eti=l;ui;^;eti=l     ti=E;}$             
557 :                    i=l;eti;eti=l;ui;^;eti=l;     i=E;}$              
558 :                    =l;eti;eti=l;ui;^;eti=l;i     =E;}$               
559 :                    l;eti;eti=l;ui;^;eti=l;i(     E;}$                
560 :E->l                l;eti;eti=l;ui;^;eti=l;i(     E;}$                
561 : SAVESTATE:          52
561 :                    l;eti;eti=l;ui;^;eti=l;i(     l;}$                
562 :                    ;eti;eti=l;ui;^;eti=l;i(i     ;}$                 
563 :                    eti;eti=l;ui;^;eti=l;i(i)     }$                  
564 : TS_NOK/NS_NORULECHï¿½IN
564 : RESSTATE            
564 :                    l;eti;eti=l;ui;^;eti=l;i(     E;}$                
565 :E->lM               l;eti;eti=l;ui;^;eti=l;i(     E;}$                
566 : SAVESTATE:          52
566 :                    l;eti;eti=l;ui;^;eti=l;i(     lM;}$               
567 :                    ;eti;eti=l;ui;^;eti=l;i(i     M;}$                
568 : TNS_NORULECHAIN/NS_NORULE
568 : RESSTATE            
568 :                    l;eti;eti=l;ui;^;eti=l;i(     E;}$                
569 : TNS_NORULECHAIN/NS_NORULE
569 : RESSTATE            
569 :                    eti=l;eti;eti=l;ui;^;eti=     N}$                 
570 :N->eti=E;N          eti=l;eti;eti=l;ui;^;eti=     N}$                 
571 : SAVESTATE:          51
571 :                    eti=l;eti;eti=l;ui;^;eti=     eti=E;N}$           
572 :                    ti=l;eti;eti=l;ui;^;eti=l     ti=E;N}$            
573 :                    i=l;eti;eti=l;ui;^;eti=l;     i=E;N}$             
574 :                    =l;eti;eti=l;ui;^;eti=l;i     =E;N}$              
575 :                    l;eti;eti=l;ui;^;eti=l;i(     E;N}$               
576 :E->l                l;eti;eti=l;ui;^;eti=l;i(     E;N}$               
577 : SAVESTATE:          52
577 :                    l;eti;eti=l;ui;^;eti=l;i(     l;N}$               
578 :                    ;eti;eti=l;ui;^;eti=l;i(i     ;N}$                
579 :                    eti;eti=l;ui;^;eti=l;i(i)     N}$                 
580 :N->eti;             eti;eti=l;ui;^;eti=l;i(i)     N}$                 
581 : SAVESTATE:          53
581 :                    eti;eti=l;ui;^;eti=l;i(i)     eti;}$              
582 :                    ti;eti=l;ui;^;eti=l;i(i);     ti;}$               
583 :                    i;eti=l;ui;^;eti=l;i(i);i     i;}$                
584 :                    ;eti=l;ui;^;eti=l;i(i);i=     ;}$                 
585 :                    eti=l;ui;^;eti=l;i(i);i=i     }$                  
586 : TS_NOK/NS_NORULECHï¿½IN
586 : RESSTATE            
586 :                    eti;eti=l;ui;^;eti=l;i(i)     N}$                 
587 :N->eti;N            eti;eti=l;ui;^;eti=l;i(i)     N}$                 
588 : SAVESTATE:          53
588 :                    eti;eti=l;ui;^;eti=l;i(i)     eti;N}$             
589 :                    ti;eti=l;ui;^;eti=l;i(i);     ti;N}$              
590 :                    i;eti=l;ui;^;eti=l;i(i);i     i;N}$               
591 :                    ;eti=l;ui;^;eti=l;i(i);i=     ;N}$                
592 :                    eti=l;ui;^;eti=l;i(i);i=i     N}$                 
593 :N->eti;             eti=l;ui;^;eti=l;i(i);i=i     N}$                 
594 : SAVESTATE:          54
594 :                    eti=l;ui;^;eti=l;i(i);i=i     eti;}$              
595 :                    ti=l;ui;^;eti=l;i(i);i=i(     ti;}$               
596 :                    i=l;ui;^;eti=l;i(i);i=i(i     i;}$                
597 :                    =l;ui;^;eti=l;i(i);i=i(i,     ;}$                 
598 : TS_NOK/NS_NORULECHï¿½IN
598 : RESSTATE            
598 :                    eti=l;ui;^;eti=l;i(i);i=i     N}$                 
599 :N->eti;N            eti=l;ui;^;eti=l;i(i);i=i     N}$                 
600 : SAVESTATE:          54
600 :                    eti=l;ui;^;eti=l;i(i);i=i     eti;N}$             
601 :                    ti=l;ui;^;eti=l;i(i);i=i(     ti;N}$              
602 :                    i=l;ui;^;eti=l;i(i);i=i(i     i;N}$               
603 :                    =l;ui;^;eti=l;i(i);i=i(i,     ;N}$                
604 : TS_NOK/NS_NORULECHï¿½IN
604 : RESSTATE            
604 :                    eti=l;ui;^;eti=l;i(i);i=i     N}$                 
605 :N->eti=E;           eti=l;ui;^;eti=l;i(i);i=i     N}$                 
606 : SAVESTATE:          54
606 :                    eti=l;ui;^;eti=l;i(i);i=i     eti=E;}$            
607 :                    ti=l;ui;^;eti=l;i(i);i=i(     ti=E;}$             
608 :                    i=l;ui;^;eti=l;i(i);i=i(i     i=E;}$              
609 :                    =l;ui;^;eti=l;i(i);i=i(i,     =E;}$               
610 :                    l;ui;^;eti=l;i(i);i=i(i,i     E;}$                
611 :E->l                l;ui;^;eti=l;i(i);i=i(i,i     E;}$                
612 : SAVESTATE:          55
612 :                    l;ui;^;eti=l;i(i);i=i(i,i     l;}$                
613 :                    ;ui;^;eti=l;i(i);i=i(i,i)     ;}$                 
614 :                    ui;^;eti=l;i(i);i=i(i,i);     }$                  
615 : TS_NOK/NS_NORULECHï¿½IN
615 : RESSTATE            
615 :                    l;ui;^;eti=l;i(i);i=i(i,i     E;}$                
616 :E->lM               l;ui;^;eti=l;i(i);i=i(i,i     E;}$                
617 : SAVESTATE:          55
617 :                    l;ui;^;eti=l;i(i);i=i(i,i     lM;}$               
618 :                    ;ui;^;eti=l;i(i);i=i(i,i)     M;}$                
619 : TNS_NORULECHAIN/NS_NORULE
619 : RESSTATE            
619 :                    l;ui;^;eti=l;i(i);i=i(i,i     E;}$                
620 : TNS_NORULECHAIN/NS_NORULE
620 : RESSTATE            
620 :                    eti=l;ui;^;eti=l;i(i);i=i     N}$                 
621 :N->eti=E;N          eti=l;ui;^;eti=l;i(i);i=i     N}$                 
622 : SAVESTATE:          54
622 :                    eti=l;ui;^;eti=l;i(i);i=i     eti=E;N}$           
623 :                    ti=l;ui;^;eti=l;i(i);i=i(     ti=E;N}$            
624 :                    i=l;ui;^;eti=l;i(i);i=i(i     i=E;N}$             
625 :                    =l;ui;^;eti=l;i(i);i=i(i,     =E;N}$              
626 :                    l;ui;^;eti=l;i(i);i=i(i,i     E;N}$               
627 :E->l                l;ui;^;eti=l;i(i);i=i(i,i     E;N}$               
628 : SAVESTATE:          55
628 :                    l;ui;^;eti=l;i(i);i=i(i,i     l;N}$               
629 :                    ;ui;^;eti=l;i(i);i=i(i,i)     ;N}$                
630 :                    ui;^;eti=l;i(i);i=i(i,i);     N}$                 
631 :N->ui;              ui;^;eti=l;i(i);i=i(i,i);     N}$                 
632 : SAVESTATE:          56
632 :                    ui;^;eti=l;i(i);i=i(i,i);     ui;}$               
633 :                    i;^;eti=l;i(i);i=i(i,i);u     i;}$                
634 :                    ;^;eti=l;i(i);i=i(i,i);ui     ;}$                 
635 :                    ^;eti=l;i(i);i=i(i,i);ui;     }$                  
636 : TS_NOK/NS_NORULECHï¿½IN
636 : RESSTATE            
636 :                    ui;^;eti=l;i(i);i=i(i,i);     N}$                 
637 :N->ui;N             ui;^;eti=l;i(i);i=i(i,i);     N}$                 
638 : SAVESTATE:          56
638 :                    ui;^;eti=l;i(i);i=i(i,i);     ui;N}$              
639 :                    i;^;eti=l;i(i);i=i(i,i);u     i;N}$               
640 :                    ;^;eti=l;i(i);i=i(i,i);ui     ;N}$                
641 :                    ^;eti=l;i(i);i=i(i,i);ui;     N}$                 
642 :N->^;               ^;eti=l;i(i);i=i(i,i);ui;     N}$                 
643 : SAVESTATE:          57
643 :                    ^;eti=l;i(i);i=i(i,i);ui;     ^;}$                
644 :                    ;eti=l;i(i);i=i(i,i);ui;i     ;}$                 
645 :                    eti=l;i(i);i=i(i,i);ui;i=     }$                  
646 : TS_NOK/NS_NORULECHï¿½IN
646 : RESSTATE            
646 :                    ^;eti=l;i(i);i=i(i,i);ui;     N}$                 
647 :N->^;N              ^;eti=l;i(i);i=i(i,i);ui;     N}$                 
648 : SAVESTATE:          57
648 :                    ^;eti=l;i(i);i=i(i,i);ui;     ^;N}$               
649 :                    ;eti=l;i(i);i=i(i,i);ui;i     ;N}$                
650 :                    eti=l;i(i);i=i(i,i);ui;i=     N}$                 
651 :N->eti;             eti=l;i(i);i=i(i,i);ui;i=     N}$                 
652 : SAVESTATE:          58
652 :                    eti=l;i(i);i=i(i,i);ui;i=     eti;}$              
653 :                    ti=l;i(i);i=i(i,i);ui;i=x     ti;}$               
654 :                    i=l;i(i);i=i(i,i);ui;i=x(     i;}$                
655 :                    =l;i(i);i=i(i,i);ui;i=x(i     ;}$                 
656 : TS_NOK/NS_NORULECHï¿½IN
656 : RESSTATE            
656 :                    eti=l;i(i);i=i(i,i);ui;i=     N}$                 
657 :N->eti;N            eti=l;i(i);i=i(i,i);ui;i=     N}$                 
658 : SAVESTATE:          58
658 :                    eti=l;i(i);i=i(i,i);ui;i=     eti;N}$             
659 :                    ti=l;i(i);i=i(i,i);ui;i=x     ti;N}$              
660 :                    i=l;i(i);i=i(i,i);ui;i=x(     i;N}$               
661 :                    =l;i(i);i=i(i,i);ui;i=x(i     ;N}$                
662 : TS_NOK/NS_NORULECHï¿½IN
662 : RESSTATE            
662 :                    eti=l;i(i);i=i(i,i);ui;i=     N}$                 
663 :N->eti=E;           eti=l;i(i);i=i(i,i);ui;i=     N}$                 
664 : SAVESTATE:          58
664 :                    eti=l;i(i);i=i(i,i);ui;i=     eti=E;}$            
665 :                    ti=l;i(i);i=i(i,i);ui;i=x     ti=E;}$             
666 :                    i=l;i(i);i=i(i,i);ui;i=x(     i=E;}$              
667 :                    =l;i(i);i=i(i,i);ui;i=x(i     =E;}$               
668 :                    l;i(i);i=i(i,i);ui;i=x(i,     E;}$                
669 :E->l                l;i(i);i=i(i,i);ui;i=x(i,     E;}$                
670 : SAVESTATE:          59
670 :                    l;i(i);i=i(i,i);ui;i=x(i,     l;}$                
671 :                    ;i(i);i=i(i,i);ui;i=x(i,i     ;}$                 
672 :                    i(i);i=i(i,i);ui;i=x(i,i)     }$                  
673 : TS_NOK/NS_NORULECHï¿½IN
673 : RESSTATE            
673 :                    l;i(i);i=i(i,i);ui;i=x(i,     E;}$                
674 :E->lM               l;i(i);i=i(i,i);ui;i=x(i,     E;}$                
675 : SAVESTATE:          59
675 :                    l;i(i);i=i(i,i);ui;i=x(i,     lM;}$               
676 :                    ;i(i);i=i(i,i);ui;i=x(i,i     M;}$                
677 : TNS_NORULECHAIN/NS_NORULE
677 : RESSTATE            
677 :                    l;i(i);i=i(i,i);ui;i=x(i,     E;}$                
678 : TNS_NORULECHAIN/NS_NORULE
678 : RESSTATE            
678 :                    eti=l;i(i);i=i(i,i);ui;i=     N}$                 
679 :N->eti=E;N          eti=l;i(i);i=i(i,i);ui;i=     N}$                 
680 : SAVESTATE:          58
680 :                    eti=l;i(i);i=i(i,i);ui;i=     eti=E;N}$           
681 :                    ti=l;i(i);i=i(i,i);ui;i=x     ti=E;N}$            
682 :                    i=l;i(i);i=i(i,i);ui;i=x(     i=E;N}$             
683 :                    =l;i(i);i=i(i,i);ui;i=x(i     =E;N}$              
684 :                    l;i(i);i=i(i,i);ui;i=x(i,     E;N}$               
685 :E->l                l;i(i);i=i(i,i);ui;i=x(i,     E;N}$               
686 : SAVESTATE:          59
686 :                    l;i(i);i=i(i,i);ui;i=x(i,     l;N}$               
687 :                    ;i(i);i=i(i,i);ui;i=x(i,i     ;N}$                
688 :                    i(i);i=i(i,i);ui;i=x(i,i)     N}$                 
689 :N->i=E;             i(i);i=i(i,i);ui;i=x(i,i)     N}$                 
690 : SAVESTATE:          60
690 :                    i(i);i=i(i,i);ui;i=x(i,i)     i=E;}$              
691 :                    (i);i=i(i,i);ui;i=x(i,i);     =E;}$               
692 : TS_NOK/NS_NORULECHï¿½IN
692 : RESSTATE            
692 :                    i(i);i=i(i,i);ui;i=x(i,i)     N}$                 
693 :N->i=E;N            i(i);i=i(i,i);ui;i=x(i,i)     N}$                 
694 : SAVESTATE:          60
694 :                    i(i);i=i(i,i);ui;i=x(i,i)     i=E;N}$             
695 :                    (i);i=i(i,i);ui;i=x(i,i);     =E;N}$              
696 : TS_NOK/NS_NORULECHï¿½IN
696 : RESSTATE            
696 :                    i(i);i=i(i,i);ui;i=x(i,i)     N}$                 
697 :N->i=l;             i(i);i=i(i,i);ui;i=x(i,i)     N}$                 
698 : SAVESTATE:          60
698 :                    i(i);i=i(i,i);ui;i=x(i,i)     i=l;}$              
699 :                    (i);i=i(i,i);ui;i=x(i,i);     =l;}$               
700 : TS_NOK/NS_NORULECHï¿½IN
700 : RESSTATE            
700 :                    i(i);i=i(i,i);ui;i=x(i,i)     N}$                 
701 :N->i=l;N            i(i);i=i(i,i);ui;i=x(i,i)     N}$                 
702 : SAVESTATE:          60
702 :                    i(i);i=i(i,i);ui;i=x(i,i)     i=l;N}$             
703 :                    (i);i=i(i,i);ui;i=x(i,i);     =l;N}$              
704 : TS_NOK/NS_NORULECHï¿½IN
704 : RESSTATE            
704 :                    i(i);i=i(i,i);ui;i=x(i,i)     N}$                 
705 :N->i=i(E);N         i(i);i=i(i,i);ui;i=x(i,i)     N}$                 
706 : SAVESTATE:          60
706 :                    i(i);i=i(i,i);ui;i=x(i,i)     i=i(E);N}$          
707 :                    (i);i=i(i,i);ui;i=x(i,i);     =i(E);N}$           
708 : TS_NOK/NS_NORULECHï¿½IN
708 : RESSTATE            
708 :                    i(i);i=i(i,i);ui;i=x(i,i)     N}$                 
709 :N->i=i(E);          i(i);i=i(i,i);ui;i=x(i,i)     N}$                 
710 : SAVESTATE:          60
710 :                    i(i);i=i(i,i);ui;i=x(i,i)     i=i(E);}$           
711 :                    (i);i=i(i,i);ui;i=x(i,i);     =i(E);}$            
712 : TS_NOK/NS_NORULECHï¿½IN
712 : RESSTATE            
712 :                    i(i);i=i(i,i);ui;i=x(i,i)     N}$                 
713 :N->i(W);            i(i);i=i(i,i);ui;i=x(i,i)     N}$                 
714 : SAVESTATE:          60
714 :                    i(i);i=i(i,i);ui;i=x(i,i)     i(W);}$             
715 :                    (i);i=i(i,i);ui;i=x(i,i);     (W);}$              
716 :                    i);i=i(i,i);ui;i=x(i,i);c     W);}$               
717 :W->i                i);i=i(i,i);ui;i=x(i,i);c     W);}$               
718 : SAVESTATE:          61
718 :                    i);i=i(i,i);ui;i=x(i,i);c     i);}$               
719 :                    );i=i(i,i);ui;i=x(i,i);c[     );}$                
720 :                    ;i=i(i,i);ui;i=x(i,i);c[i     ;}$                 
721 :                    i=i(i,i);ui;i=x(i,i);c[i!     }$                  
722 : TS_NOK/NS_NORULECHï¿½IN
722 : RESSTATE            
